FTA_ID,TANSSIB_CODE,TANSSIB_DESC,PART_CODE,PART_DESC,CHAPTER_CODE,CHAPTER_DESC,SECTION_CODE,SECTION_DESC,PARAGRAPH_CODE,PARAGRAPH_DESC
637,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
641,04-04,الهبات والوصايا,0,,4,العائدات المتنوعة,4,الهبات والوصايا,0,
642,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
643,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
647,04-06,حاصلات الأملاك المبنية والمشاعات,0,,4,العائدات المتنوعة,6,حاصلات الأملاك المبنية والمشاعات,0,
648,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
649,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
653,04-06,حاصلات الأملاك المبنية والمشاعات,0,,4,العائدات المتنوعة,6,حاصلات الأملاك المبنية والمشاعات,0,
654,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
655,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
659,04-06,حاصلات الأملاك المبنية والمشاعات,0,,4,العائدات المتنوعة,6,حاصلات الأملاك المبنية والمشاعات,0,
660,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
661,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
665,04-06,حاصلات الأملاك المبنية والمشاعات,0,,4,العائدات المتنوعة,6,حاصلات الأملاك المبنية والمشاعات,0,
147,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
148,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
149,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
150,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
151,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
152,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
153,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
154,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
155,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
156,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
157,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
158,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
159,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
160,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
276,04-07,النقد المدور,0,,4,العائدات المتنوعة,7,النقد المدور,0,
404,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
277,04-09,سائر العائدات غير الملحوظة,0,,4,العائدات المتنوعة,9,سائر العائدات غير الملحوظة,0,
666,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
667,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
671,04-09,سائر العائدات غير الملحوظة,0,,4,العائدات المتنوعة,9,سائر العائدات غير الملحوظة,0,
672,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
673,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
683,04-09,سائر العائدات غير الملحوظة,0,,4,العائدات المتنوعة,9,سائر العائدات غير الملحوظة,0,
684,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
685,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
350,04-04,الهبات والوصايا,0,,4,العائدات المتنوعة,4,الهبات والوصايا,0,
351,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
352,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
353,04-01,المساعدات,0,,4,العائدات المتنوعة,1,المساعدات,0,
354,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
355,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
356,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
357,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
358,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
359,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
360,02-02,حصة البلديات من المؤسسة العامة للاسكان,0,,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2,حصة البلديات من المؤسسة العامة للاسكان,0,
361,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
362,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
363,02-03,رسم نسبي على تذاكر الدخول إلى أندية المراهنات,0,,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,3,رسم نسبي على تذاكر الدخول إلى أندية المراهنات,0,
364,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
365,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
366,02-07,ضريبة التحسين,0,,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,7,ضريبة التحسين,0,
367,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
368,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
393,01-28,رسم معاينة على اللحوم الطازجة الواردة من خارج النطاق البلدي,0,,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,28,رسم معاينة على اللحوم الطازجة الواردة من خارج النطاق البلدي,0,
273,02-01,علاوة على ضريبة الأملاك المبنية النسبية,0,,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,1,علاوة على ضريبة الأملاك المبنية النسبية,0,
242,03-01,الحصة العائدة لدعم الموازنة,0,,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),1,الحصة العائدة لدعم الموازنة,0,
245,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
246,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
247,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
248,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
249,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
399,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
252,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
400,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
256,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
257,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
258,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
259,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
260,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
401,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
402,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
263,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
403,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
161,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
162,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
163,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
164,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
165,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
166,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
167,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
168,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
169,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
170,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
171,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
172,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
173,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
174,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
175,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
176,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
177,04-05,الغرامات,0,,4,العائدات المتنوعة,5,الغرامات,0,
