FEE_TYPE_ID,FEE_TYPE_NAME,YEARLY,USERID,TIME_STAMP,FEETP,MSC_FEE_FLAG,TREASURY_FEE_FLAG,FEE_TYPE_SHORTNAME,AMANA_FEE_FLAG
2,رسم صيانة المجارير والأرصفة,Y,MRSBINIT,1998-10-20 00:00:00,1,N,,ر.صيانة م وأ,
9,رسم إنشاء المجارير و الأرصفة,N,MRSBINIT,1998-10-20 00:00:00,2,Y,,ر.إنشاء م وأ,
12,رسم ترخيص للإعلانات الدائمة والمؤقتة,N,MRSBINIT,1998-10-21 00:00:00,2,Y,,ر.ت.اعلان,
14,رسم استثمار للإعلانات الدائمة,Y,MRSBINIT,1998-10-21 00:00:00,1,Y,,ر.إ.اعلان دائم,
15,رسم اسثمارللإعلانات المؤقتة,N,MRSBINIT,1998-10-20 00:00:00,1,Y,,ر.إ.اعلان مؤقت,
17,رسم ترخيص بإشغال الأملاك العمومية البلدية,N,MRSBINIT,1998-10-20 00:00:00,2,Y,,ر.ت.اشغال أ.ع,
23,رسم على المزايدات,N,MRSBINIT,1998-10-20 00:00:00,2,Y,,ر.مزايدات,
25,رسم على الحيوانات التي تذبح,N,MRSBINIT,1998-10-20 00:00:00,2,Y,,ر.ذبيحة,
27,رسم ترخيص بالترميم,N,MRSBINIT,1998-10-20 00:00:00,2,Y,,ر.ت.بالترميم,
28,رسم تصوينة,N,MRSBINIT,1998-11-03 00:00:00,2,Y,,ر.تصوينة,
29,رسم لصالح صندوق نقابة المهندسين,N,MRSBINIT,1998-11-03 00:00:00,2,Y,,ر.مهندسين,
30,رسم التعمير,N,MRSBINIT,1998-11-03 00:00:00,2,Y,,ر.تعمير,
31,رسم إضافي لصالح المؤسسة العامة للإسكان,N,MRSBINIT,1998-11-03 00:00:00,2,Y,,ر.الاسكان,
33,رسم المرآب السنوي على المؤسسات السياحية,Y,MRSBINIT,2005-11-15 00:00:00,1,Y,,ر. مرآب سنوي,
37,رسم المرآب,N,MRSBINIT,2001-04-25 00:00:00,3,Y,,ر.المرآب,
