CHAPTER_TYPE,CHAPTER,DESCRIPT,BUDGET_YEAR
E,1,النفقات الادارية,2026
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2026
E,3,نفقات المشاريع الانشائية,2026
E,4,نفقات الخدمات والمساعدات,2026
E,5,النفقات المتنوعة,2026
E,6,الاحتياط,2026
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2026
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2026
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2026
I,4,العائدات المتنوعة,2026
E,1,النفقات الادارية,2027
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2027
E,3,نفقات المشاريع الانشائية,2027
E,4,نفقات الخدمات والمساعدات,2027
E,5,النفقات المتنوعة,2027
E,6,الاحتياط,2027
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2027
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2027
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2027
I,4,العائدات المتنوعة,2027
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2019
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2019
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2019
I,4,العائدات المتنوعة,2019
E,1,النفقات الادارية,2012
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2012
E,3,نفقات المشاريع الانشائية,2012
E,4,نفقات الخدمات والمساعدات,2012
E,5,النفقات المتنوعة,2012
E,6,الاحتياط,2012
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2012
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2012
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2012
I,4,العائدات المتنوعة,2012
E,1,النفقات الادارية,2013
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2013
E,3,نفقات المشاريع الانشائية,2013
E,4,نفقات الخدمات والمساعدات,2013
E,5,النفقات المتنوعة,2013
