CHAPTER_TYPE,CHAPTER,SECTION,PARAGRAPH,DESCRIPT,BUDGET_YEAR
I,4,9,1,سائر العائدات غير الملحوظة,2024
E,1,1,1,تعويضات الرئاسة,2025
E,1,2,1,رواتب الموظفين,2025
E,1,3,1,بدلات التعاقد,2025
E,1,4,1,أجور الأجراء,2025
E,1,5,1,عائدات الجباية والغرامة,2025
E,1,6,1,المكافآت والتعويضات والتقديمات المختلفة,2025
E,1,7,1,اللوازم,2025
E,1,8,1,الملابس,2025
E,1,9,1,بدلات الإيجار والخدمات المشتركة,2025
E,1,10,1,المخابرات الهاتفية والبريد والبرق,2025
E,1,11,1,نفقات إدارية أخرى,2025
E,2,1,1,التجهيزات,2025
E,2,2,1,صيانة التجهيزات والآليات,2025
E,2,3,1,المفروشات,2025
E,2,4,1,النظافة العامة,2025
E,2,5,1,صيانة المباني,2025
E,2,6,1,شراء الآليات,2025
E,2,7,1,مكافحة الحشرات,2025
E,2,8,1,لوازم التنظيفات,2025
E,2,9,1,المحروقات,2025
E,2,10,1,أجور النقل والانتقال,2025
E,2,11,1,أجور العمّال اليوميين,2025
E,2,12,1,بدلات استهلاك الكهرباء,2025
E,2,13,1,بدلات اشتراك المياه,2025
E,2,14,1,صيانة الطرق العامة,2025
E,2,15,1,صيانة شبكات المياه,2025
E,2,16,1,صيانة شبكات الإنارة العامة,2025
E,3,1,1,إنشاء المباني,2025
E,3,2,1,إنشاء شبكات الإنارة العامة,2025
E,3,3,1,إنشاء شبكات المياه,2025
E,3,4,1,إنشاء شبكات المجارير,2025
E,3,5,1,إنشاء الطرق العامة والأرصفة والأقنية,2025
E,3,6,1,إنشاء الحدائق,2025
E,3,7,1,إنشاء الملاعب والمسابح,2025
E,3,8,1,إنشاءات أخرى,2025
E,3,9,1,نفقات الدروس,2025
E,3,10,1,تعويضات الإستملاك,2025
E,3,11,1,شراء الأبنية,2025
E,3,12,1,شراء العقارات,2025
E,4,1,1,التخصيصات الصحية,2025
E,4,2,1,مساعدة المعوزين,2025
E,4,3,1,مساعدة الأوقاف الخيرية,2025
E,4,4,1,المساهمة في النشاطات الثقافية,2025
E,4,5,1,المساهمة في النشاطات التربوية,2025
E,4,6,1,المساهمة في النشاطات الرياضية,2025
E,4,7,1,المساهمة في النشاطات الاجتماعية,2025
E,4,8,1,المنح والجوائز المدرسية,2025
E,4,9,1,مساعدة المدارس,2025
E,4,10,1,مساعدة المكتبات,2025
E,4,11,1,مساعدة الهيئات التي لا تتوخّى الربح,2025
E,4,12,1,مساهمات إلى القطاع العام,2025
E,5,1,1,الاستقبالات,2025
E,5,2,1,الاحتفالات والمهرجانات,2025
E,5,3,1,رسوم الدعاوى والأحكام والمصالحات وأتعاب المحاماة,2025
E,5,4,1,المساهمة في موازنة اتحاد البلديات,2025
E,5,5,1,رديات,2025
E,5,6,1,نفقات التأمين,2025
E,5,7,1,إيفاء القروض,2025
E,5,9,1,المصاريف الأخرى غير الملحوظة,2025
E,6,1,1,احتياط الموازنة,2025
I,1,1,1,رسم على القيمة التأجيرية (سكن),2025
I,1,2,1,رسم على القيمة التأجيرية (غير سكن),2025
I,1,3,1,رسم صيانة المجارير والأرصفة,2025
I,1,4,1,رسم خاص على تجارة المواد القابلة للإشتعال والإنفجار,2025
I,1,5,1,رسم الترخيص لأماكن الاجتماع وأندية المراهنات,2025
I,1,6,1,رسم الترخيص للإعلان الدائم والمؤقت,2025
I,1,7,1,رسم الترخيص باشغال الأملاك العمومية البلدية,2025
I,1,8,1,رسم الترخيص لمحلات ومحطات توزيع المحروقات السائلة,2025
I,1,9,1,رسم الترخيص للمؤسسات المصنفة,2025
I,1,10,1,رسم الترخيص باحتراف المهن بالتجول,2025
I,1,11,1,رسم الترخيص بالبناء,2025
I,1,12,1,رسم إستعمال الأملاك والمنشآت العامة البلدية,2025
I,1,13,1,رسم إنفاق في وجوه محددة,2025
I,1,14,1,رسم تصوينة,2025
I,1,15,1,رسم الترميم,2025
I,1,16,1,رسم إنشاء مجارير وأرصفة,2025
I,1,17,1,رسم المرآب,2025
I,1,18,1,رسم الإستثمار لأماكن الإجتماع وأندية المراهنات,2025
I,1,19,1,رسم الإستثمار للإعلان الدائم,2025
I,1,20,1,رسم الإستثمار للإعلان المؤقت,2025
I,1,21,1,رسم الإستثمار لاشغال الأملاك العمومية البلدية,2025
I,1,22,1,رسم الإستثمار لمحلات ومحطات المحروقات السائلة,2025
I,1,23,1,رسم الإستثمار للمحركات المستعملة في المؤسسات الصناعية,2025
I,1,24,1,رسم إستثمار على الإعلانات التي تعرض في دور السينما,2025
I,1,25,1,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2025
I,1,26,1,الرسم النسبي على المزايدات,2025
I,1,27,1,رسم على الحيوانات التي تذبح في النطاق البلدي,2025
I,1,28,1,رسم معاينة على اللحوم الطازجة الواردة من خارج النطاق البلدي,2025
I,1,29,1,رسوم وقوف السيارات في الأملاك البلدية العمومية,2025
I,1,30,1,رسوم الدخول إلى الأماكن الأثرية والسياحية,2025
I,1,31,1,رسم تسجيل عقود الإيجار,2025
I,1,32,1,رسوم إعطاء البيانات والإفادات والدروس الفنية,2025
I,1,33,1,واردات ناتجة عن أشغال لحساب الغير,2025
I,1,34,1,الغرامات التي تفرضها المحاكم بسبب مخالفة الأنظمة,2025
I,1,35,1,رسوم وغرامات تسوية مخالفات البناء,2025
I,1,36,1,واردات مباشرة غير ملحوظة,2025
I,1,37,1,غرامات الاعمال غير المنفذة من البناء,2025
I,1,38,1,رسم المرآب السنوي على المؤسسات السياحية,2025
I,2,1,1,علاوة على ضريبة الأملاك المبنية النسبية,2025
I,2,2,1,حصة البلديات من المؤسسة العامة للاسكان,2025
I,2,3,1,رسم نسبي على تذاكر الدخول إلى أندية المراهنات,2025
I,2,4,1,الضريبة على القيمة المضافة على قيمة أجور المخابرات وبدل الاشتراك,2025
I,2,5,1,الضريبة على القيمة المضافة على قيمة الطاقة الكهربائية المستهلكة,2025
I,2,6,1,الضريبة على القيمة المضافة على قيمة المياه المستهلكة,2025
I,2,7,1,ضريبة التحسين,2025
I,2,8,1,عائدات أخرى,2025
I,3,1,1,الحصة العائدة لدعم الموازنة,2025
I,3,2,1,الحصة المخصصة لدعم مشاريع التنمية,2025
I,4,1,1,المساعدات,2025
I,4,2,1,الفوائد,2025
I,4,3,1,القروض,2025
I,4,4,1,الهبات والوصايا,2025
I,4,5,1,الغرامات,2025
I,4,6,1,حاصلات الأملاك المبنية والمشاعات,2025
I,4,7,1,النقد المدور,2025
I,4,9,1,سائر العائدات غير الملحوظة,2025
E,1,1,1,تعويضات الرئاسة,2026
E,1,2,1,رواتب الموظفين,2026
E,1,3,1,بدلات التعاقد,2026
E,1,4,1,أجور الأجراء,2026
E,1,5,1,عائدات الجباية والغرامة,2026
E,1,6,1,المكافآت والتعويضات والتقديمات المختلفة,2026
E,1,7,1,اللوازم,2026
E,1,8,1,الملابس,2026
E,1,9,1,بدلات الإيجار والخدمات المشتركة,2026
E,1,10,1,المخابرات الهاتفية والبريد والبرق,2026
E,1,11,1,نفقات إدارية أخرى,2026
E,2,1,1,التجهيزات,2026
E,2,2,1,صيانة التجهيزات والآليات,2026
E,2,3,1,المفروشات,2026
E,2,4,1,النظافة العامة,2026
E,2,5,1,صيانة المباني,2026
E,2,6,1,شراء الآليات,2026
E,2,7,1,مكافحة الحشرات,2026
E,2,8,1,لوازم التنظيفات,2026
E,2,9,1,المحروقات,2026
E,2,10,1,أجور النقل والانتقال,2026
E,2,11,1,أجور العمّال اليوميين,2026
E,2,12,1,بدلات استهلاك الكهرباء,2026
E,2,13,1,بدلات اشتراك المياه,2026
E,2,14,1,صيانة الطرق العامة,2026
E,2,15,1,صيانة شبكات المياه,2026
E,2,16,1,صيانة شبكات الإنارة العامة,2026
E,3,1,1,إنشاء المباني,2026
E,3,2,1,إنشاء شبكات الإنارة العامة,2026
E,3,3,1,إنشاء شبكات المياه,2026
E,3,4,1,إنشاء شبكات المجارير,2026
E,3,5,1,إنشاء الطرق العامة والأرصفة والأقنية,2026
E,3,6,1,إنشاء الحدائق,2026
E,3,7,1,إنشاء الملاعب والمسابح,2026
E,3,8,1,إنشاءات أخرى,2026
E,3,9,1,نفقات الدروس,2026
E,3,10,1,تعويضات الإستملاك,2026
E,3,11,1,شراء الأبنية,2026
E,3,12,1,شراء العقارات,2026
E,4,1,1,التخصيصات الصحية,2026
E,4,2,1,مساعدة المعوزين,2026
E,4,3,1,مساعدة الأوقاف الخيرية,2026
E,4,4,1,المساهمة في النشاطات الثقافية,2026
E,4,5,1,المساهمة في النشاطات التربوية,2026
E,4,6,1,المساهمة في النشاطات الرياضية,2026
E,4,7,1,المساهمة في النشاطات الاجتماعية,2026
E,4,8,1,المنح والجوائز المدرسية,2026
E,4,9,1,مساعدة المدارس,2026
E,4,10,1,مساعدة المكتبات,2026
E,4,11,1,مساعدة الهيئات التي لا تتوخّى الربح,2026
E,4,12,1,مساهمات إلى القطاع العام,2026
E,5,1,1,الاستقبالات,2026
E,5,2,1,الاحتفالات والمهرجانات,2026
E,5,3,1,رسوم الدعاوى والأحكام والمصالحات وأتعاب المحاماة,2026
E,5,4,1,المساهمة في موازنة اتحاد البلديات,2026
E,5,5,1,رديات,2026
E,5,6,1,نفقات التأمين,2026
E,5,7,1,إيفاء القروض,2026
E,5,9,1,المصاريف الأخرى غير الملحوظة,2026
E,6,1,1,احتياط الموازنة,2026
I,1,1,1,رسم على القيمة التأجيرية (سكن),2026
I,1,2,1,رسم على القيمة التأجيرية (غير سكن),2026
I,1,3,1,رسم صيانة المجارير والأرصفة,2026
I,1,4,1,رسم خاص على تجارة المواد القابلة للإشتعال والإنفجار,2026
I,1,5,1,رسم الترخيص لأماكن الاجتماع وأندية المراهنات,2026
I,1,6,1,رسم الترخيص للإعلان الدائم والمؤقت,2026
I,1,7,1,رسم الترخيص باشغال الأملاك العمومية البلدية,2026
I,1,8,1,رسم الترخيص لمحلات ومحطات توزيع المحروقات السائلة,2026
I,1,9,1,رسم الترخيص للمؤسسات المصنفة,2026
I,1,10,1,رسم الترخيص باحتراف المهن بالتجول,2026
I,1,11,1,رسم الترخيص بالبناء,2026
I,1,12,1,رسم إستعمال الأملاك والمنشآت العامة البلدية,2026
I,1,13,1,رسم إنفاق في وجوه محددة,2026
I,1,14,1,رسم تصوينة,2026
I,1,15,1,رسم الترميم,2026
I,1,16,1,رسم إنشاء مجارير وأرصفة,2026
I,1,17,1,رسم المرآب,2026
I,1,18,1,رسم الإستثمار لأماكن الإجتماع وأندية المراهنات,2026
I,1,19,1,رسم الإستثمار للإعلان الدائم,2026
I,1,20,1,رسم الإستثمار للإعلان المؤقت,2026
I,1,21,1,رسم الإستثمار لاشغال الأملاك العمومية البلدية,2026
I,1,22,1,رسم الإستثمار لمحلات ومحطات المحروقات السائلة,2026
I,1,23,1,رسم الإستثمار للمحركات المستعملة في المؤسسات الصناعية,2026
I,1,24,1,رسم إستثمار على الإعلانات التي تعرض في دور السينما,2026
I,1,25,1,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2026
I,1,26,1,الرسم النسبي على المزايدات,2026
I,1,27,1,رسم على الحيوانات التي تذبح في النطاق البلدي,2026
I,1,28,1,رسم معاينة على اللحوم الطازجة الواردة من خارج النطاق البلدي,2026
I,1,29,1,رسوم وقوف السيارات في الأملاك البلدية العمومية,2026
I,1,30,1,رسوم الدخول إلى الأماكن الأثرية والسياحية,2026
I,1,31,1,رسم تسجيل عقود الإيجار,2026
I,1,32,1,رسوم إعطاء البيانات والإفادات والدروس الفنية,2026
I,1,33,1,واردات ناتجة عن أشغال لحساب الغير,2026
I,1,34,1,الغرامات التي تفرضها المحاكم بسبب مخالفة الأنظمة,2026
I,1,35,1,رسوم وغرامات تسوية مخالفات البناء,2026
I,1,36,1,واردات مباشرة غير ملحوظة,2026
I,1,37,1,غرامات الاعمال غير المنفذة من البناء,2026
I,1,38,1,رسم المرآب السنوي على المؤسسات السياحية,2026
I,2,1,1,علاوة على ضريبة الأملاك المبنية النسبية,2026
I,2,2,1,حصة البلديات من المؤسسة العامة للاسكان,2026
I,2,3,1,رسم نسبي على تذاكر الدخول إلى أندية المراهنات,2026
I,2,4,1,الضريبة على القيمة المضافة على قيمة أجور المخابرات وبدل الاشتراك,2026
I,2,5,1,الضريبة على القيمة المضافة على قيمة الطاقة الكهربائية المستهلكة,2026
I,2,6,1,الضريبة على القيمة المضافة على قيمة المياه المستهلكة,2026
I,2,7,1,ضريبة التحسين,2026
