BALADIEH_INTID,BUDGET_YEAR,PAYMENT_SEQ_YR,BENEFICIARY,NOTES,EXPENSE_AUTH_BY,ENTRY_DATE,PAY_AUTH_BY,PAY_DATE,AMOUNT,PAY_TYPE,CHECK_NUM,CASHIER,CASHING_DATE,PRINTED,USER_ID,TRANS_DATE,ACTIVE,INACTIVE_REASON,INACTIVE_DATE
165,2025,6,وزارة المالية,الفصل الرابع من ضريبة الدخل للعام 2025,رئيس البلدية,2025-12-31,محتسب البلدية,2025-12-31,850000,H,,أمين الصندوق,2025-12-31,Y,MBSSMALL,2026-01-16,Y,,
165,2021,3,وزارة المالية,ضريبة الدخل عن الفصل الثالث من العام 2021,رئيس البلدية,2021-10-14,محتسب البلدية,2021-10-14,507000,H,,أمين الصندوق,2021-10-14,Y,MBSSMALL,2021-10-14,Y,,
165,2021,4,وزارة المالية,الفصل الرابع للعام 2021,رئيس البلدية,2021-12-30,محتسب البلدية,2021-12-30,503000,H,,أمين الصندوق,2022-01-20,Y,MBSSMALL,2022-01-21,Y,,
165,2022,1,وزارة المالية,الفصل الأول من العام 2022,رئيس البلدية,2022-04-29,محتسب البلدية,2022-04-29,3219000,H,,أمين الصندوق,2022-04-29,Y,MBSSMALL,2022-05-05,Y,,
165,2017,1,أمين صندوق الخزينة المركزي,رسم تعمير وإسكان عن العام 2016,رئيس البلدية,2017-02-15,محتسب البلدية,2017-02-15,14931000,K,63872,أمين الصندوق,2017-02-15,Y,MBSSMALL,2017-02-25,Y,,
165,2016,1,امين صندوق الخزينة المركزي,رسم تعمير واسكان عن العام 2015وما سبق,رئيس البلدية,2016-08-25,محتسب البلدية,2016-08-25,144027000,K,063863,أمين الصندوق,2016-08-25,Y,MBSSMALL,2016-10-20,Y,,
165,2019,1,وزارة المالية,الفصل الاول 2018 مع غرامة التاخير,رئيس البلدية,2019-12-30,محتسب البلدية,2019-12-30,452000,H,,أمين الصندوق,2019-12-30,Y,MBSSMALL,2020-01-30,Y,,
165,2019,2,وزارة المالية,الفصل الثاني 2018 مع غرامة تأخير,رئيس البلدية,2019-12-30,محتسب البلدية,2019-12-30,454000,H,,أمين الصندوق,2019-12-30,Y,MBSSMALL,2020-01-30,Y,,
165,2019,3,وزارة المالية,الفصل الثالث للعام 2018 مع غرامة تأخير.,رئيس البلدية,2019-12-30,محتسب البلدية,2019-12-30,450000,H,,أمين الصندوق,2019-12-30,Y,MBSSMALL,2020-01-30,Y,,
165,2019,4,وزارة المالية,ضريبة الدخل عن الفصل الرابع مع الغرامة للعام 2018.,رئيس البلدية,2019-12-30,محتسب البلدية,2019-12-30,453000,H,,أمين الصندوق,2019-12-30,Y,MBSSMALL,2020-02-03,Y,,
165,2019,5,وزارة المالية,ضريبة تأخير سنوي للعام 2018,رئيس البلدية,2019-12-30,محتسب البلدية,2019-12-30,93000,H,,أمين الصندوق,2019-12-30,Y,MBSSMALL,2020-02-03,Y,,
165,2019,6,وزارة المالية,ضريبة الدخل للفصل الأول من العام 2019 مع غرامة تأخير.,رئيس البلدية,2019-12-30,محتسب البلدية,2019-12-30,552000,H,,أمين الصندوق,2019-12-30,Y,MBSSMALL,2020-02-03,Y,,
165,2019,7,وزارة المالية,ضريبة الدخل مع غرامة تأخير للفصل الثاني من العام 2019 .,رئيس البلدية,2019-12-30,محتسب البلدية,2019-12-30,550000,H,,أمين الصندوق,2019-12-30,Y,MBSSMALL,2020-02-03,Y,,
165,2019,8,وزارة الداخلية,ضريبة دخل مع غرامة تأخير للفصل الثالث من العام 2019,رئيس البلدية,2019-12-30,محتسب البلدية,2019-12-30,981000,H,,أمين الصندوق,2019-12-30,Y,MBSSMALL,2020-02-03,Y,,
165,2019,9,وزارة المالية,ضريبة الدخل للفصل الرابع من العام 2019,رئيس البلدية,2020-01-09,محتسب البلدية,2020-01-09,467000,H,,أمين الصندوق,2020-01-09,Y,MBSSMALL,2020-02-03,Y,,
165,2020,1,وزارة المالية,الفصل الثاني لضريبة الدخل للعام 2020,رئيس البلدية,2020-07-15,محتسب البلدية,2020-07-15,489000,H,,أمين الصندوق,2020-07-15,Y,MBSSMALL,2020-07-16,Y,,
165,2020,2,وزارة الداخلية,الفصل الأول من ضريبة الخل للعام 2020,رئيس البلدية,2020-05-13,محتسب البلدية,2020-05-13,493000,H,,أمين الصندوق,2020-05-13,Y,MBSSMALL,2020-07-16,Y,,
165,2020,3,وزارة المالية,الفصل الثالث لضريبة الدخل للعام 2020,رئيس البلدية,2020-10-30,محتسب البلدية,2020-10-30,492000,H,,أمين الصندوق,2020-10-30,Y,MBSSMALL,2020-10-30,Y,,
165,2020,4,وزارة المالية,الفصل الرابع  من ضريبة الرواتب,رئيس البلدية,2020-02-10,محتسب البلدية,2020-02-10,765000,H,,أمين الصندوق,2020-02-10,Y,MBSSMALL,2021-02-10,Y,,
165,2021,1,وزارة المالية,الفصل الأول للعام 2021,رئيس البلدية,2021-04-14,محتسب البلدية,2021-04-14,507000,H,,أمين الصندوق,2021-04-14,Y,MBSSMALL,2021-04-14,Y,,
165,2021,2,وزارة المالية,الفصل الثاني للعام 2021,رئيس البلدية,2021-07-14,محتسب البلدية,2021-07-14,507000,H,,أمين الصندوق,2021-07-14,Y,MBSSMALL,2021-07-15,Y,,
165,2023,1,وزارة المالية,الفصل الأول للعام 2023,رئيس البلدية,2023-04-12,محتسب البلدية,2023-04-12,880000,H,,ريما ميشال بجاني,2023-04-12,Y,MBSSMALL,2023-04-18,Y,,
165,2022,2,وزارة المالية,الفصل الثاني للعام 2022,رئيس البلدية,2022-08-11,محتسب البلدية,2022-08-11,1910000,H,,ريما ميشال بجاني,2022-08-11,Y,MBSSMALL,2023-04-18,Y,,
165,2022,3,وزارة الداخلية,الفصل الثالث من العام 2022,رئيس البلدية,2022-10-13,محتسب البلدية,2022-10-13,2570000,H,,ريما ميشال بجاني,2022-10-13,Y,MBSSMALL,2023-04-18,Y,,
165,2025,2,مالية بعبدا,رسم طابع مالي الفصل الأول,رئيس البلدية,2025-07-17,محتسب البلدية,2025-07-17,38110000,,,,,N,MBSSMALL,2025-07-17,N,خطأ,2026-01-29
165,2025,3,وزارة المالية,الفصل الثاني عنضريبة الدخل على الرواتب والأجور للعام 2025,رئيس البلدية,2025-07-15,محتسب البلدية,2025-07-15,850000,H,,أمين الصندوق,2025-07-15,Y,MBSSMALL,2025-07-17,Y,,
165,2025,7,مالية بعبدا,الفصل الرابع للعام 2025,رئيس البلدية,2025-12-31,محتسب البلدية,2025-12-31,74560000,H,,أمين الصندوق,2025-12-31,Y,MBSSMALL,2026-01-28,Y,,
165,2025,4,مالية بعبدا,الفصل الثالث عن ضريبة الدخل على الرواتب والأجور,رئيس البلدية,2025-10-10,محتسب البلدية,2025-10-10,850000,H,,أمين الصندوق,2025-10-10,Y,MBSSMALL,2025-10-13,Y,,
165,2025,8,وزارة المالية,الفصل الاول 2025,رئيس البلدية,2025-07-15,محتسب البلدية,2025-07-15,18500000,,,,,N,MBSSMALL,2026-01-29,N,خطأ,2026-01-29
165,2025,9,وزارة المالية,تسديد رسم الطابع المالي عن الفصل الاول 2025,رئيس البلدية,2025-07-18,محتسب البلدية,2025-07-18,18500000,H,,أمين الصندوق,2025-07-18,Y,MBSSMALL,2026-01-29,Y,,
165,2025,1,أمين صندوق الخزينة المركزي,عائدات التعمير والإسكان من العام 2017 لغاية 2024,رئيس البلدية,2025-03-13,محتسب البلدية,2025-03-13,66010000,K,274297,أمين الصندوق,2025-03-19,Y,MBSSMALL,2025-03-19,Y,,
165,2025,5,وزارة المالية,رسم طابع مالي عن الفصل الثالث للعام 2025,رئيس البلدية,2025-10-13,محتسب البلدية,2025-10-13,29040000,H,,أمين الصندوق,2025-10-13,Y,MBSSMALL,2025-10-16,Y,,
165,2026,1,وزارة المالية,الفصل الأول لزوم ضريبة الدخل على الرواتب والأجور للعام 2026,رئيس البلدية,2026-04-09,محتسب البلدية,2026-04-09,3190000,H,,أمين الصندوق,2026-04-09,Y,MBSSMALL,2026-04-23,Y,,
165,2026,2,مالية بعبدا,رسم الطابع المالي للواردات عن الفصل الأول للعام 2026,رئيس البلدية,2026-04-20,محتسب البلدية,2026-04-21,30900000,H,,أمين الصندوق,2026-04-21,Y,MBSSMALL,2026-04-23,Y,,
