CHAPTER_TYPE,CHAPTER,SECTION,DESCRIPT,BUDGET_YEAR
I,1,13,رسم إنفاق في وجوه محددة,2008
I,1,14,رسم تصوينة,2008
I,1,15,رسم الترميم,2008
I,1,16,رسم إنشاء مجارير وأرصفة,2008
I,1,17,رسم المرآب,2008
I,1,19,رسم الإستثمار للإعلان الدائم,2008
I,1,20,رسم الإستثمار للإعلان المؤقت,2008
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2008
I,1,26,الرسم النسبي على المزايدات,2008
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2008
I,1,31,رسم تسجيل عقود الإيجار,2008
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2008
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2008
I,1,36,واردات مباشرة غير ملحوظة,2008
I,3,1,الحصة العائدة لدعم الموازنة,2008
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2008
I,4,1,المساعدات,2008
I,4,2,الفوائد,2008
I,4,3,القروض,2008
I,4,4,الهبات والوصايا,2008
I,4,5,الغرامات,2008
I,4,6,حاصلات الأملاك المبنية والمشاعات,2008
E,2,16,صيانة شبكات الإنارة العامة,2008
I,4,9,سائر العائدات غير الملحوظة,2008
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2008
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2008
I,2,7,ضريبة التحسين,2008
E,1,7,اللوازم,2008
E,1,9,بدلات الإيجار والخدمات المشتركة,2008
E,1,10,المخابرات الهاتفية والبريد والبرق,2008
E,1,11,نفقات إدارية أخرى,2008
E,2,5,صيانة المباني,2008
E,2,8,لوازم التنظيفات,2008
E,2,10,أجور النقل والانتقال,2008
E,2,11,أجور العمّال اليوميين,2008
E,2,12,بدلات استهلاك الكهرباء,2008
E,2,13,بدلات اشتراك المياه,2008
E,2,14,صيانة الطرق العامة,2008
E,2,15,صيانة شبكات المياه,2008
E,3,8,إنشاءات أخرى,2008
E,3,10,تعويضات الإستملاك,2008
E,3,11,شراء الأبنية,2008
E,5,6,نفقات التأمين,2008
E,5,9,المصاريف الأخرى غير الملحوظة,2008
E,3,12,شراء العقارات,2008
E,4,12,مساهمات إلى القطاع العام,2008
I,2,8,عائدات أخرى,2008
I,4,7,النقد المدور,2008
E,5,7,إيفاء القروض,2008
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2007
I,1,37,غرامات الاعمال غير المنفذة من البناء,2007
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2008
I,1,37,غرامات الاعمال غير المنفذة من البناء,2008
E,5,9,المصاريف الأخرى غير الملحوظة,2010
E,6,1,احتياط الموازنة,2010
I,1,1,رسم على القيمة التأجيرية (سكن),2010
I,1,2,رسم على القيمة التأجيرية (غير سكن),2010
I,1,3,رسم صيانة المجارير والأرصفة,2010
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2010
I,1,9,رسم الترخيص للمؤسسات المصنفة,2010
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2010
I,1,11,رسم الترخيص بالبناء,2010
I,1,13,رسم إنفاق في وجوه محددة,2010
I,1,14,رسم تصوينة,2010
I,1,15,رسم الترميم,2010
I,1,16,رسم إنشاء مجارير وأرصفة,2010
I,1,17,رسم المرآب,2010
I,1,19,رسم الإستثمار للإعلان الدائم,2010
I,1,20,رسم الإستثمار للإعلان المؤقت,2010
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2010
I,1,26,الرسم النسبي على المزايدات,2010
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2010
I,1,31,رسم تسجيل عقود الإيجار,2010
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2010
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2010
I,1,36,واردات مباشرة غير ملحوظة,2010
I,1,37,غرامات الاعمال غير المنفذة من البناء,2010
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2010
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2010
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2010
I,2,7,ضريبة التحسين,2010
I,2,8,عائدات أخرى,2010
I,3,1,الحصة العائدة لدعم الموازنة,2010
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2010
I,4,1,المساعدات,2010
I,4,2,الفوائد,2010
I,4,3,القروض,2010
I,4,4,الهبات والوصايا,2010
I,4,5,الغرامات,2010
