PAY_TRANS_ID,DOCUMENT_SEQ,TRANSACTION_SEQ,TRANSACTION_DESC,BALADIEH_INT_ID,AMOUNT,ACCOUNT_TYPE,SUB_LEDGER_ID,FEE_TYPE,FEE_DETAIL,FEE_TYPE_ID,FEE_TYPE_DET,PAYMENT_TYPE,TRANS_TYPE,TRANS_NUM,LINE_NUM,CHECK_SEQ,CHECK_NUM,BANK_CODE,CHECK_PAYOR,CHECK_DATE,CHECK_SEQ_ACC
2261,1,3,قبض رسوم - بيان رقم 2006/516 إيصال رقم 6056,165,72000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2262,1,1,قبض رسوم - بيان رقم 2006/621 إيصال رقم 6057,165,17000,CREDIT,749.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2262,1,2,قبض رسوم - بيان رقم 2006/621 إيصال رقم 6057,165,55000,CREDIT,747.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2262,1,3,قبض رسوم - بيان رقم 2006/621 إيصال رقم 6057,165,72000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2263,1,1,قبض رسوم - بيان رقم 2006/473 إيصال رقم 6058,165,14000,CREDIT,749.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2263,1,2,قبض رسوم - بيان رقم 2006/473 إيصال رقم 6058,165,45000,CREDIT,747.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2263,1,3,قبض رسوم - بيان رقم 2006/473 إيصال رقم 6058,165,59000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2264,1,1,قبض رسوم - بيان رقم 2006/1333 إيصال رقم 6059,165,9000,CREDIT,749.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2264,1,2,قبض رسوم - بيان رقم 2006/1333 إيصال رقم 6059,165,42000,CREDIT,748.0,DIRECT,FEE,1.0,2.0,,,,,,,,,,
2264,1,3,قبض رسوم - بيان رقم 2006/1333 إيصال رقم 6059,165,51000,DEBIT,647.0,,,,,10.0,,,,,,,,,
