RECEIPT_NUMBER,RECEIPT_DATE,RECEIPT_AMOUNT,ISHAAR_ID,DECISION_ID,INSTALLMENT_SR,BALADIEH_INT_ID,PAY_COLLECTOR,CASHIER,BUDGET_YEAR,USERID,TIME_STAMP,RECEIPT_FINE_AMOUNT,RECEIPT_REMARKS,RECEIPT_ID,TVA_FEE_VALUE,RECEIPT_CODE,STAMP_VALUE
6014,2006-09-22 00:00:00,72000,3141.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2362,,,
6015,2006-09-22 00:00:00,59000,3172.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2363,,,
6016,2006-09-22 00:00:00,59000,3030.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2364,,,
6017,2006-09-22 00:00:00,46000,3023.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2365,,,
6018,2006-09-22 00:00:00,59000,3024.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2366,,,
6019,2006-09-22 00:00:00,59000,3025.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2367,,,
6020,2006-09-22 00:00:00,72000,2856.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2368,,,
6021,2006-09-22 00:00:00,306000,3583.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2369,,,
6022,2006-09-22 00:00:00,27000,3728.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2370,,,
6023,2006-09-22 00:00:00,59000,2766.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2371,,,
6024,2006-09-22 00:00:00,59000,3043.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2372,,,
6025,2006-09-22 00:00:00,65000,3044.0,,,165,3,,2006,MONABA,2006-09-26 00:00:00,,,2373,,,
6026,2006-10-09 00:00:00,65000,3045.0,,,165,3,,2006,MONABA,2006-10-09 00:00:00,,,2374,,,
6027,2006-10-09 00:00:00,65000,3046.0,,,165,3,,2006,MONABA,2006-10-09 00:00:00,,,2375,,,
6028,2006-10-09 00:00:00,59000,1800.0,,,165,3,,2006,MONABA,2006-10-09 00:00:00,,,2376,,,
6028,2006-10-09 00:00:00,59000,356.0,,,165,3,,2006,MONABA,2006-10-09 00:00:00,,,2377,,,
6028,2006-10-09 00:00:00,59000,3165.0,,,165,3,,2006,MONABA,2006-10-09 00:00:00,,,2378,,,
6029,2006-10-09 00:00:00,65000,2754.0,,,165,3,,2006,MONABA,2006-10-09 00:00:00,,,2379,,,
6030,2006-10-09 00:00:00,65000,2755.0,,,165,3,,2006,MONABA,2006-10-09 00:00:00,,,2380,,,
